"callnum","circ","lang","ctry"
"DT469.R45 D5 2008","0","fre","fr "
"B4815.L84 G44 2009","0","ger","gw "
"PN2636.P32 T427 2009","0","fre","fr "
"BR160.3 .P6715 2004","0","ger","gw "
"DS481.G3 M3144 2008","0","eng","ii "
"PH3281.K245 Z822 2007","0","hun","hu "
"PQ2678.I47 R48 2009","0","fre","fr "
"PQ4541 .A37 2009","0","ita","it "
"PT8124 .J8 2008","0","dan","dk "
"DS486.A486 D87 2004","0","eng","ii "
"PQ2625.A93 Z522 2009","0","fre","fr "
"DD289 .H375 2009","0","ger","gw "
"HA4570.8.Z9 E377 2007","0","eng","ce "
"DD280.6 .K74 2009","1","ger","gw "
"PT2621.I87 H4 1926","0","ger","gw "
"PT67.R436 G62 2009","0","ger","gw "
"BS1178.H4 T447 2007","0","heb","is "
"DD901.C5 K45 2008","0","ger","gw "
"HV6453.A6 S66 2008","0","spa","ag "
"BL790 .B47 2008","0","spa","sp "
